q(1/A)	I (1/cm)
9.26E-02	 8.9254153E-02
9.29E-02	 8.9412607E-02
9.31E-02	 8.9832548E-02
9.34E-02	 9.0912372E-02
9.37E-02	 9.0740051E-02
9.39E-02	 9.0581415E-02
9.42E-02	 8.9778347E-02
9.45E-02	 8.9549308E-02
9.47E-02	 8.9773217E-02
9.50E-02	 8.8302647E-02
9.53E-02	 8.8182778E-02
9.55E-02	 8.9862327E-02
9.58E-02	 8.9262087E-02
9.61E-02	 8.9079206E-02
9.64E-02	 8.8609295E-02
9.66E-02	 8.9467926E-02
9.69E-02	 8.9895007E-02
9.72E-02	 8.9149531E-02
9.74E-02	 8.8162335E-02
9.77E-02	 8.8225077E-02
9.80E-02	 8.8765955E-02
9.82E-02	 8.9141328E-02
9.85E-02	 8.9122347E-02
9.88E-02	 8.8575504E-02
9.91E-02	 8.8774869E-02
9.93E-02	 9.1112383E-02
9.96E-02	 9.3733024E-02
9.99E-02	 9.7478336E-02
1.00E-01	 9.9406032E-02
1.00E-01	 9.6084058E-02
1.01E-01	 9.1097752E-02
1.01E-01	 8.8002860E-02
1.01E-01	 8.8014449E-02
1.01E-01	 8.8460264E-02
1.02E-01	 9.1546459E-02
1.02E-01	 9.0517785E-02
1.02E-01	 8.8164726E-02
1.03E-01	 8.7746936E-02
1.03E-01	 8.9448033E-02
1.03E-01	 8.7655334E-02
1.03E-01	 8.7388752E-02
1.04E-01	 8.7898660E-02
1.04E-01	 8.7597706E-02
1.04E-01	 8.7788178E-02
1.04E-01	 8.7306033E-02
1.05E-01	 8.8014245E-02
1.05E-01	 8.7154856E-02
1.05E-01	 8.7417915E-02
1.06E-01	 8.7562820E-02
1.06E-01	 8.6515814E-02
1.06E-01	 8.7833350E-02
1.06E-01	 8.8308779E-02
1.07E-01	 8.7905050E-02
1.07E-01	 8.6710240E-02
1.07E-01	 8.6323045E-02
1.07E-01	 8.6529297E-02
1.08E-01	 8.6152787E-02
1.08E-01	 8.6505500E-02
1.08E-01	 8.6163301E-02
1.08E-01	 8.5649644E-02
1.09E-01	 8.6055567E-02
1.09E-01	 8.6057108E-02
1.09E-01	 8.6543565E-02
1.10E-01	 8.7002977E-02
1.10E-01	 8.6233617E-02
1.10E-01	 8.6633734E-02
1.10E-01	 8.6339870E-02
1.11E-01	 8.5761648E-02
1.11E-01	 8.5491446E-02
1.11E-01	 8.5770729E-02
1.11E-01	 8.5911846E-02
1.12E-01	 8.6467460E-02
1.12E-01	 8.6080403E-02
1.12E-01	 8.6218937E-02
1.13E-01	 8.6786806E-02
1.13E-01	 8.7557600E-02
1.13E-01	 8.6989471E-02
1.13E-01	 8.5814486E-02
1.14E-01	 8.4173228E-02
1.14E-01	 8.5402026E-02
1.14E-01	 8.6024872E-02
1.14E-01	 8.5742133E-02
1.15E-01	 8.5521546E-02
1.15E-01	 8.6785063E-02
1.15E-01	 8.6075233E-02
1.15E-01	 8.4965096E-02
1.16E-01	 8.4728399E-02
1.16E-01	 8.5726986E-02
1.16E-01	 8.7187817E-02
1.17E-01	 8.6008574E-02
1.17E-01	 8.6275258E-02
1.17E-01	 8.6502346E-02
1.17E-01	 8.6235988E-02
1.18E-01	 8.6457664E-02
1.18E-01	 8.5001433E-02
1.18E-01	 8.5535550E-02
1.18E-01	 8.6209559E-02
1.19E-01	 8.6333291E-02
1.19E-01	 8.5886581E-02
1.19E-01	 8.5571078E-02
1.20E-01	 8.4925285E-02
1.20E-01	 8.4782341E-02
1.20E-01	 8.5459601E-02
1.20E-01	 8.5322636E-02
1.21E-01	 8.6260286E-02
1.21E-01	 8.6093379E-02
1.21E-01	 8.6093111E-02
1.21E-01	 8.6381543E-02
1.22E-01	 8.6322329E-02
1.22E-01	 8.4889189E-02
1.22E-01	 8.4652405E-02
1.23E-01	 8.5036578E-02
1.23E-01	 8.5871450E-02
1.23E-01	 8.5208651E-02
1.23E-01	 8.5897633E-02
1.24E-01	 8.5149494E-02
1.24E-01	 8.4903375E-02
1.24E-01	 8.5231876E-02
1.24E-01	 8.4347025E-02
1.25E-01	 8.5328015E-02
1.25E-01	 8.4578495E-02
1.25E-01	 8.5313207E-02
1.25E-01	 8.6770261E-02
1.26E-01	 8.5319383E-02
1.26E-01	 8.4405314E-02
1.26E-01	 8.5820931E-02
1.27E-01	 8.7882971E-02
1.27E-01	 9.1239894E-02
1.27E-01	 8.5392366E-02
1.27E-01	 8.4795743E-02
